category,term,tf-idf
industry,0.0007961673381992701,investor
industry,0.0006036873223708752,customer
industry,0.00045495276468529724,influencers
industry,0.00041995639817104364,hightech
industry,0.00041995639817104364,startup
industry,0.0004024582149139168,pitch
industry,0.0003674618483996632,firm
industry,0.0003149672986282827,stock
industry,0.0003062182069997193,investment
industry,0.0002974691153711559,deck
industry,0.0002799709321140291,celebrity
industry,0.00026870888217555135,economy
industry,0.00026247274885690225,productmarket
industry,0.00026247274885690225,marketer
industry,0.00023622547397121203,unemployment
industry,0.00022747638234264862,vc
industry,0.00022747638234264862,lowcode
industry,0.00020997819908552182,entrepreneur
industry,0.00020997819908552182,chinese
innovation,0.002851449113315638,chaincode
innovation,0.0009614081301600618,const
innovation,0.0006882808204554989,peer
innovation,0.0006555055432909513,query
innovation,0.0006008800813500387,exec
innovation,0.0005899549889618562,blockchain
innovation,0.0005790298965736736,docker
innovation,0.0005681048041854911,mongo
innovation,0.0005622560549985189,model
innovation,0.0005462546194091261,cipher
innovation,0.000524404434632761,cli
innovation,0.000502554249856396,server
innovation,0.00048616661127412226,container
innovation,0.0004479287879154834,dataset
innovation,0.0003987658721686621,e
innovation,0.00039330332597457075,iv
innovation,0.00038237823358638825,websocket
innovation,0.00037145314119820574,encryption
innovation,0.00036052804881002323,mycc
innovation,0.00034960295642184067,ledger
innovation,0.00034960295642184067,hash
innovation,0.00034960295642184067,feral
innovation,0.00033867786403365816,cache
innovation,0.00033867786403365816,origination
innovation,0.00032775277164547565,rmse
innovation,0.00032775277164547565,peer0org1examplecom
innovation,0.00032775277164547565,instal
innovation,0.00031682767925729315,lifecycle
innovation,0.00031136513306320187,database
innovation,0.0003059025868691106,gitops
innovation,0.0003059025868691106,password
innovation,0.0002949774944809281,mychannel
innovation,0.0002949774944809281,configuration
innovation,0.0002949774944809281,endpoint
innovation,0.0002949774944809281,internetnative
innovation,0.0002856623505234411,function
innovation,0.00028405240209274557,cdb
innovation,0.00028405240209274557,plaintext
innovation,0.00028405240209274557,invoke
innovation,0.00027312730970456306,ciphertext
innovation,0.00027312730970456306,ip
innovation,0.00027312730970456306,instantiate
innovation,0.0002622022173163805,n
innovation,0.0002622022173163805,medcat
innovation,0.0002622022173163805,apk
innovation,0.0002622022173163805,peer0org2examplecom
innovation,0.0002561892508662607,service
innovation,0.00025392208935416986,user
innovation,0.000251654927842079,feature
innovation,0.000251277124928198,classification
innovation,0.000251277124928198,s3
innovation,0.0002448534433058066,code
innovation,0.00024035203254001546,v1
innovation,0.00024035203254001546,mae
innovation,0.00024035203254001546,chargeoff
innovation,0.00024035203254001546,selection
innovation,0.00024035203254001546,aws
innovation,0.00023488948634592423,import
innovation,0.00022942694015183295,kubernetes
innovation,0.00022942694015183295,malicious
innovation,0.00022942694015183295,csv
innovation,0.00021850184776365042,vocab
innovation,0.00021850184776365042,deployment
innovation,0.00021850184776365042,header
innovation,0.00021850184776365042,r2
innovation,0.00021850184776365042,aes
innovation,0.000217647505160717,key
innovation,0.0002108460206244446,value
innovation,0.00020857885911235383,set
innovation,0.0002075767553754679,defaulted
innovation,0.0002075767553754679,opensource
innovation,0.00020211420918137666,token
